site_id,years,states,commodity,latitude,longitude
M000001,2012;2017;2022;2027,0;0;0;1,U,25.6967,85.7625
M000002,1984;1989;1994;1999,0;0;3;3,Ag,-62.4542,178.2659
M000003,1995;2000,0;0,Zn,48.6817,104.6262
M000004,1973;1978;1983;1988,0;0;0;0,Zn,-50.026,-88.5111
M000005,1989;1994;1999;2004;2009,0;1;1;1;2,Fe,87.8332,104.2208
M000006,2008;2013;2018;2023,0;3;3;3,Ag,55.0082,149.7614
M000007,2001;2006;2011;2016,0;0;0;0,Ag,-11.3117,124.663
M000008,1972;1977;1982,0;1;1,Cu,60.8681,57.2143
M000009,1988;1993,0;1,Zn,45.243,127.4336
M000010,2011;2016;2021;2026;2031,0;0;0;0;0,Fe,22.5548,72.6508
M000011,1975;1980;1985;1990;1995;2000,0;1;1;2;2;2,U,48.3701,143.6952
M000012,1975;1980;1985;1990,0;0;0;3,Ag,18.1067,20.6496
M000013,1980;1985,0;0,Cu,65.6461,-158.7488
M000014,2013;2018;2023;2028,0;1;1;1,Cu,9.5821,17.3638
M000015,1973;1978;1983,0;1;2,Zn,13.4317,61.5763
M000016,1996;2001,0;0,Cu,-38.6064,32.8753
M000017,1976;1981;1986;1991;1996;2001,0;0;0;0;0;0,Au,24.7139,41.7728
M000018,2001;2006;2011;2016;2021;2026,0;1;1;1;2;2,U,2.4561,1.2689
M000019,1973;1978;1983;1988,0;0;0;1,Ag,55.4114,-31.5897
M000020,1992;1997;2002;2007,0;3;3;3,Zn,-9.9801,94.3185
M000021,1987;1992;1997;2002;2007,0;0;0;0;0,U,39.4501,68.4286
M000022,1997;2002;2007;2012;2017,0;3;3;3;3,Zn,8.1784,-47.3231
M000023,1999;2004,0;0,Au,-40.0622,-58.9219
M000024,1979;1984;1989;1994,0;0;0;0,U,-72.0824,50.4918
M000025,1984;1989;1994;1999;2004;2009,0;0;0;0;0;0,Zn,22.4454,100.4423
M000026,1971;1976;1981,0;0;0,Ag,20.5029,19.4239
M000027,1991;1996,0;0,Au,38.1656,-173.7723
M000028,1973;1978,0;0,Au,-38.0876,-106.7568
M000029,1977;1982,0;0,Cu,17.6828,-121.2033
M000030,1990;1995;2000;2005;2010;2015,0;1;1;1;1;1,Ag,46.3119,80.3407
M000031,1988;1993;1998;2003;2008,0;1;1;1;2,Au,-88.2973,149.5991
M000032,1984;1989;1994;1999,0;0;0;1,Cu,12.9969,79.7506
M000033,1973;1978,0;3,Zn,83.8171,83.8557
M000034,1973;1978;1983;1988;1993;1998,0;0;0;0;1;1,Ag,34.7262,-114.631
M000035,1978;1983;1988;1993;1998,0;0;0;1;2,Zn,-65.6477,112.7924
M000036,1973;1978;1983;1988;1993,0;1;1;2;2,Ag,-1.5897,-54.9221
M000037,1984;1989;1994;1999;2004;2009,0;0;1;1;1;1,Au,-46.8777,158.2862
M000038,2010;2015;2020;2025;2030;2035,0;1;2;2;2;2,Zn,-64.6237,83.8972
M000039,2006;2011,0;0,Au,-70.1226,-176.4659
M000040,1982;1987;1992,0;3;3,Au,62.7134,119.4782
M000041,1977;1982;1987;1992,0;1;1;1,Fe,-4.0379,3.6919
M000042,1999;2004;2009,0;0;3,Cu,18.1846,-61.516
M000043,1990;1995;2000;2005;2010;2015,0;1;2;2;2;2,U,-3.8791,169.4586
M000044,1982;1987;1992;1997;2002,0;0;0;3;3,Fe,47.7381,-113.7897
M000045,2006;2011;2016;2021,0;0;0;0,Zn,-43.6057,124.0931
M000046,1975;1980,0;3,Au,-85.8602,145.3904
M000047,1973;1978;1983;1988;1993,0;0;0;0;0,Fe,-68.5618,-69.6449
M000048,1991;1996,0;1,Fe,76.4766,-114.1627
M000049,1993;1998;2003;2008;2013,0;1;2;2;2,Cu,64.6063,99.5133
M000050,1998;2003,0;0,U,31.2697,-66.8194
M000051,2011;2016;2021,0;0;0,Au,72.7255,-108.5288
M000052,1996;2001,0;0,U,-50.1761,37.8216
M000053,2002;2007;2012,0;1;1,Fe,-43.8975,139.149
M000054,1992;1997;2002;2007;2012;2017,0;0;0;0;3;3,Au,28.3672,-53.587
M000055,1995;2000,0;1,Cu,-63.6214,53.431
M000056,2008;2013;2018,0;0;0,Au,24.4492,-15.3897
M000057,2011;2016,0;0,U,-84.6025,177.4801
M000058,2007;2012,0;0,Fe,63.0996,-47.713
M000059,1970;1975;1980;1985;1990,0;0;1;1;1,Au,-21.2131,152.7194
M000060,1980;1985;1990;1995;2000,0;0;1;1;1,Fe,-27.0572,-16.945
M000061,1975;1980;1985;1990,0;0;1;3,Zn,-81.5152,16.9456
M000062,1980;1985;1990;1995;2000;2005,0;0;0;0;3;3,Cu,-9.3865,-110.5149
M000063,1996;2001;2006,0;0;0,Zn,-21.0181,23.5553
M000064,2012;2017;2022;2027,0;1;1;2,Au,81.8352,170.8717
M000065,1995;2000;2005;2010,0;0;0;0,Fe,-43.1755,-13.722
M000066,1979;1984;1989;1994;1999;2004,0;0;3;3;3;3,Au,13.5759,5.1408
M000067,1970;1975;1980;1985;1990,0;1;1;1;3,Fe,-5.3891,5.8764
M000068,2009;2014;2019;2024,0;3;3;3,Fe,-31.8765,142.384
M000069,2006;2011;2016;2021;2026,0;1;1;1;1,Fe,58.2185,-51.8075
M000070,1994;1999;2004;2009;2014,0;1;3;3;3,Cu,13.5668,-136.8718
M000071,1989;1994;1999;2004;2009;2014,0;1;1;1;2;2,Au,27.0372,108.8529
M000072,1972;1977;1982;1987,0;0;3;3,Cu,-22.2318,67.4079
M000073,1990;1995,0;0,U,10.9269,-3.3355
M000074,1993;1998,0;0,Zn,-63.5483,-65.4648
M000075,1987;1992,0;1,Au,72.0898,-88.7634
M000076,1982;1987;1992,0;0;1,Ag,-69.0505,78.8275
M000077,2004;2009;2014;2019;2024;2029,0;0;1;2;2;2,Fe,-42.2334,-51.8642
M000078,1982;1987;1992;1997;2002,0;0;0;0;0,Zn,-30.104,-142.1415
M000079,1985;1990;1995;2000;2005;2010,0;0;1;2;2;2,Fe,86.9905,-43.7893
M000080,1973;1978;1983;1988,0;0;0;1,Au,-34.558,-88.9988
M000081,1994;1999,0;0,U,59.3813,-126.4934
M000082,1988;1993;1998,0;1;1,U,6.6542,146.0279
M000083,2013;2018,0;0,Ag,-9.7364,-179.9389
M000084,1977;1982;1987;1992;1997,0;0;1;1;1,U,0.7299,136.3849
M000085,1970;1975;1980;1985;1990;1995,0;0;1;2;2;2,Au,0.7244,-124.2924
M000086,2012;2017;2022;2027;2032;2037,0;3;3;3;3;3,Ag,17.2987,-24.7121
M000087,2004;2009;2014;2019,0;0;1;2,Cu,45.4426,121.5453
M000088,1987;1992,0;0,Fe,44.3134,12.6767
M000089,2008;2013;2018;2023;2028,0;1;1;1;1,Fe,30.2311,-60.8736
M000090,2011;2016;2021,0;1;1,U,4.6374,177.7251
M000091,2006;2011,0;0,Cu,12.1048,-42.2611
M000092,1972;1977,0;1,Au,80.0712,-144.3575
M000093,1987;1992;1997;2002;2007,0;3;3;3;3,Ag,41.6194,163.1291
M000094,2009;2014,0;0,U,-1.8432,33.1781
M000095,1995;2000;2005;2010;2015,0;0;1;1;2,Fe,-89.0291,56.2998
M000096,1973;1978;1983;1988;1993;1998,0;0;1;2;2;2,Fe,-58.886,2.8135
M000097,2013;2018;2023;2028;2033;2038,0;0;0;0;1;1,Ag,51.48,-152.746
M000098,2011;2016,0;1,Cu,-27.3654,47.4185
M000099,2001;2006,0;3,Zn,-6.2105,-137.7536
M000100,2000;2005;2010;2015;2020;2025,0;3;3;3;3;3,Zn,-74.7853,97.4511
M000101,1985;1990;1995;2000;2005,0;0;1;1;1,Zn,-14.4672,50.2943
M000102,1975;1980,0;0,Ag,-88.1701,8.5376
M000103,1975;1980;1985;1990,0;0;1;1,Au,80.5593,114.6789
M000104,1993;1998;2003;2008;2013,0;3;3;3;3,Cu,-72.3012,-155.8287
M000105,2011;2016;2021;2026,0;0;1;1,Fe,0.9593,141.3743
M000106,1990;1995;2000;2005;2010,0;0;1;1;1,Zn,-72.4584,-88.1086
M000107,2004;2009;2014;2019;2024;2029,0;0;3;3;3;3,Zn,57.6779,90.6397
M000108,1998;2003;2008;2013;2018;2023,0;1;2;2;2;2,Cu,-79.0657,47.478
M000109,2002;2007;2012,0;0;0,Ag,3.2096,-105.2665
M000110,1993;1998;2003;2008,0;1;2;2,Fe,-49.0211,141.336
M000111,1970;1975;1980;1985,0;0;1;2,Ag,-40.3941,-170.478
M000112,1985;1990;1995;2000;2005,0;0;0;0;0,Cu,-11.9349,-174.163
M000113,2011;2016;2021;2026,0;0;1;2,Zn,84.1556,122.3264
M000114,2012;2017;2022;2027;2032,0;1;2;2;2,U,-14.8022,-141.7268
M000115,2013;2018,0;0,Fe,32.9368,-88.5053
M000116,1988;1993,0;0,Au,76.8935,-155.8801
M000117,1988;1993;1998;2003;2008;2013,0;1;2;2;2;2,Au,-74.7597,167.7551
M000118,1988;1993;1998;2003,0;3;3;3,Zn,-70.7234,-121.7862
M000119,1997;2002;2007,0;0;0,U,-57.3885,3.1938
M000120,1986;1991;1996;2001,0;0;0;1,U,-43.6954,-172.9819
M000121,2011;2016,0;1,Zn,-78.9381,-58.3798
M000122,1993;1998;2003;2008,0;3;3;3,U,69.545,75.8318
M000123,1975;1980;1985,0;1;2,Ag,-47.9229,38.0519
M000124,2002;2007;2012,0;0;0,Cu,-72.9198,-26.1063
M000125,1975;1980,0;0,Zn,38.9654,-62.7832
M000126,1989;1994;1999;2004,0;1;1;1,Fe,-19.0345,-172.4467
M000127,2009;2014;2019,0;1;1,Cu,-67.3273,-100.1882
M000128,2003;2008,0;0,Au,-66.1878,75.7312
M000129,1986;1991;1996;2001,0;0;3;3,Fe,-4.7283,-13.7108
M000130,2010;2015;2020,0;0;3,Zn,-54.2886,-133.0441
M000131,1979;1984,0;1,Cu,-55.2136,-31.4455
M000132,2001;2006;2011,0;3;3,Cu,-6.1673,-121.4115
M000133,1972;1977;1982;1987;1992;1997,0;0;1;2;2;2,Zn,13.0705,121.1489
M000134,1971;1976,0;1,Ag,77.8583,143.3469
M000135,1991;1996,0;1,Zn,77.9227,-163.8475
M000136,1985;1990;1995;2000;2005,0;0;1;1;1,U,21.0159,-164.6897
M000137,1985;1990;1995;2000,0;1;2;2,Au,86.7088,104.4834
M000138,1979;1984,0;0,U,-47.7752,-143.572
M000139,1982;1987;1992;1997;2002;2007,0;0;0;0;0;3,U,-16.8865,51.9605
M000140,1988;1993;1998;2003;2008,0;1;1;1;1,Fe,64.6743,-97.9276
M000141,1976;1981;1986;1991;1996,0;0;0;1;2,Cu,40.1589,-98.6801
M000142,1978;1983;1988;1993,0;1;1;3,U,-15.2098,160.0409
M000143,2001;2006;2011;2016,0;1;1;1,Zn,21.3355,-7.4766
M000144,1983;1988,0;0,Ag,-0.6175,72.9045
M000145,2013;2018;2023;2028;2033;2038,0;1;1;1;1;1,Zn,36.8546,153.579
M000146,2013;2018;2023;2028,0;1;1;2,U,50.4708,38.8694
M000147,1970;1975;1980;1985;1990,0;1;1;2;2,Fe,-10.7918,39.6266
M000148,1993;1998;2003;2008,0;0;0;0,Zn,86.7066,1.4575
M000149,1992;1997;2002;2007;2012;2017,0;0;0;0;1;2,Ag,-42.271,-94.1307
M000150,1997;2002;2007;2012,0;0;1;2,Cu,-82.7244,55.5707
M000151,1989;1994;1999,0;0;1,Fe,24.0758,-72.7082
M000152,1971;1976;1981;1986;1991;1996,0;1;3;3;3;3,Fe,-79.6092,-2.7703
M000153,1997;2002;2007,0;0;0,Au,71.2099,-129.947
M000154,1996;2001;2006;2011;2016;2021,0;0;0;3;3;3,Cu,-87.4338,-14.4358
M000155,1978;1983;1988;1993,0;0;1;1,Zn,41.3577,36.607
M000156,1973;1978,0;0,Ag,-61.773,-115.9582
M000157,2004;2009;2014;2019;2024,0;1;2;2;2,Cu,-72.2389,136.9582
M000158,2003;2008;2013;2018;2023;2028,0;0;0;1;1;1,Au,77.9161,-135.9299
M000159,1991;1996,0;1,Au,-51.3839,143.4119
M000160,1971;1976;1981,0;3;3,Cu,-1.649,157.5672
M000161,1981;1986,0;0,U,-80.9071,153.7674
M000162,1977;1982;1987,0;0;1,U,51.3134,118.2302
M000163,2007;2012;2017;2022,0;3;3;3,Zn,77.5222,-101.2444
M000164,1998;2003;2008,0;1;1,Cu,-38.2002,37.2013
M000165,1970;1975;1980;1985,0;0;1;1,Fe,-47.5143,95.3279
M000166,1975;1980;1985;1990,0;0;0;1,Zn,-0.4407,117.4137
M000167,1997;2002,0;1,U,18.5824,-30.2611
M000168,1978;1983;1988;1993,0;0;0;0,Fe,-20.4025,179.9878
M000169,2002;2007;2012;2017,0;1;1;1,Ag,-56.9971,-58.5635
M000170,1996;2001;2006;2011;2016,0;0;0;0;0,Fe,-55.8018,1.7592
M000171,1975;1980;1985;1990;1995;2000,0;1;1;1;2;2,Zn,13.8492,59.7787
M000172,1995;2000;2005;2010;2015,0;3;3;3;3,U,77.6404,91.1635
M000173,1986;1991,0;0,Au,-35.8868,111.9477
M000174,1974;1979;1984;1989;1994;1999,0;0;1;2;2;2,U,9.1469,-61.3041
M000175,1981;1986;1991;1996;2001;2006,0;0;0;0;0;0,U,8.2268,-173.3665
M000176,1991;1996;2001;2006;2011,0;0;1;1;2,Ag,-39.7477,125.8571
M000177,1988;1993,0;1,Cu,15.4646,78.5837
M000178,1994;1999;2004;2009,0;1;1;1,Au,-42.8935,101.0964
M000179,1981;1986;1991;1996;2001;2006,0;1;2;2;2;2,Cu,8.4719,122.5855
M000180,1975;1980;1985;1990,0;3;3;3,Cu,-58.3006,-60.5
M000181,2001;2006;2011;2016,0;1;1;1,Zn,43.1622,146.715
M000182,1976;1981;1986;1991;1996;2001,0;1;2;2;2;2,Ag,-6.6493,-8.8472
M000183,2010;2015;2020;2025,0;0;0;0,Fe,32.0749,-159.1443
M000184,2004;2009;2014;2019,0;1;1;3,Zn,-20.6122,119.6175
M000185,1975;1980,0;0,Cu,-42.678,-46.4012
M000186,1999;2004;2009;2014;2019;2024,0;0;3;3;3;3,Zn,-30.8877,149.5812
M000187,1993;1998;2003,0;0;1,Fe,-67.0228,134.4475
M000188,1972;1977;1982;1987;1992;1997,0;0;3;3;3;3,Fe,37.2668,-116.842
M000189,1991;1996;2001;2006;2011;2016,0;0;0;0;0;0,Fe,-25.7722,87.1941
M000190,1980;1985;1990,0;0;1,Cu,-76.272,-64.393
M000191,1974;1979;1984;1989,0;3;3;3,U,74.7892,-66.156
M000192,1995;2000;2005;2010;2015,0;0;3;3;3,Ag,25.4856,14.8672
M000193,2011;2016;2021;2026;2031,0;0;0;1;2,Au,89.3246,81.7629
M000194,1986;1991;1996;2001,0;0;0;1,Au,-23.3321,-7.1385
M000195,1986;1991;1996;2001;2006;2011,0;1;2;2;2;2,Cu,26.0129,-81.0981
M000196,2003;2008;2013;2018;2023;2028,0;1;1;2;2;2,Fe,-5.3064,-175.2558
M000197,1971;1976;1981;1986,0;0;1;2,Cu,-47.1403,-80.5313
M000198,2001;2006;2011;2016;2021;2026,0;0;0;1;1;1,Cu,61.6217,120.9762
M000199,1997;2002,0;0,Fe,-76.5669,-44.0276
M000200,1994;1999;2004;2009,0;1;1;3,Ag,15.7265,-61.1529
M000201,2008;2013,0;3,Cu,27.2333,-67.0258
M000202,1980;1985;1990;1995,0;1;2;2,Ag,-83.4893,-67.8525
M000203,1979;1984;1989,0;1;1,U,63.5185,52.2882
M000204,2000;2005;2010,0;0;1,Cu,30.2394,153.0219
M000205,1980;1985;1990;1995,0;0;0;0,Zn,9.6865,31.7393
M000206,1984;1989;1994;1999;2004,0;0;0;1;1,Fe,-19.2024,-81.2601
M000207,1972;1977;1982;1987;1992,0;0;1;2;2,Zn,-55.1538,-106.4656
M000208,2004;2009;2014,0;0;0,U,38.607,56.1573
M000209,1990;1995;2000,0;3;3,Au,36.0283,-39.9614
M000210,2006;2011,0;1,Cu,38.7026,60.6728
M000211,2010;2015,0;0,Zn,-25.5501,54.7398
M000212,2005;2010,0;3,Au,54.8359,-23.7522
M000213,2007;2012,0;0,Ag,17.8883,-16.8247
M000214,1985;1990;1995;2000;2005,0;1;2;2;2,Cu,-36.7629,-18.7597
M000215,2000;2005;2010;2015,0;0;1;2,Zn,-59.4378,117.5603
M000216,2009;2014;2019,0;3;3,Au,15.1809,-61.3576
M000217,1997;2002;2007;2012;2017,0;0;0;0;0,Zn,-4.7302,-93.9819
M000218,1995;2000;2005,0;0;1,Zn,-80.9799,-4.0391
M000219,1990;1995,0;0,Fe,-76.41,-144.9246
M000220,1997;2002;2007;2012;2017,0;0;0;1;1,Zn,-73.1544,-167.5355
M000221,1993;1998;2003,0;1;1,Fe,65.6184,118.3641
M000222,2002;2007;2012;2017;2022,0;1;1;3;3,U,-84.757,-72.3594
M000223,1989;1994;1999,0;0;1,Zn,51.4018,148.7723
M000224,2001;2006;2011,0;0;0,Ag,-72.4816,-129.9847
M000225,1970;1975;1980;1985;1990;1995,0;0;0;0;0;1,Zn,-61.0228,-13.5076
M000226,1997;2002;2007;2012;2017,0;0;1;1;1,Ag,87.4713,-86.6488
M000227,1973;1978;1983;1988;1993,0;0;0;0;0,U,-25.0476,83.0171
